vers.;v4.23;Abort Procedure;;3;mrl;mcc;rdh;time
0:00;MCC;BEGIN SEQUENCE: Defueling Rocket;Defueling;3;;;;
0:00;MCC;Inform OPS of Launch Abort;;3;;;;
0:00;EGSE;Confirm all valve switches are in OFF position (Except OxDV & HPDV);;3;;;;
0:00;OBDH;Confirm all valve switches are in OFF position (Except RMOxSV);;3;;;;
0:00;OBDH;Activate Heizi;;3;;;;
0:00;MCC;Turn audio volume up;;3;;;;
0:00;EGSE;Open & Close OxDV STEPWISE until OxOutPT 0 Bar;;3;;;;
0:00;EGSE;Open OxDV;;3;;;;
0:00;EGSE;Open MPV3;;3;;;;
0:00;EGSE;Confirm OxOutPT 0 bar;;3;;;;
0:00;EGSE;Close MPV3;;3;;;;
0:00;EGSE;Close OxDV;;3;;;;
0:00;EGSE;Open HPDV;;3;;;;
0:00;EGSE;Confirm HPLPT 0 bar;;3;;;;
0:00;EGSE;Close HPDV;;3;;;;
0:00;OBDH;Confirm ROxTPT & RHPPT 1 Bar, if more: Open & Close stepwise RDV;;3;;;;
0:00;OBDH;Deactivate Heizi;;3;;;;
0:00;ALL;Wait for Launchpad to be clear of N2O fumes depending on OxMass before Defueling;;3;;;;
0:00;MCC;BEGIN SEQUENCE: Ground support equipment passivation;GSE Passivation;3;;;;
0:00;MCC;Announce BEGIN of Radio Silence;;3;;;;
0:00;MRL;Go to MRL, Close N2O Bottle 1 & N2O Bottle 2, THEN...;;2;;;;
0:00;MRL;RETURN to Block House;;2;;;;
0:00;EGSE;Open OxDV;;2;;;;
0:00;EGSE;Open OxV1;;2;;;;
0:00;EGSE;Confirm OxInPT1 & OxOutPT 0 Bar;;2;;;;
0:00;EGSE;Close OxV1;;2;;;;
0:00;EGSE;Open OxV2;;2;;;;
0:00;EGSE;Confirm OxInPT2 & OxOutPT 0 Bar;;2;;;;
0:00;EGSE;Close OxV2;;2;;;;
0:00;EGSE;Close OxDV ;;2;;;;
0:00;MRL;Go to MRL, confirm OxInPG1 & OxInPG2 0 Bar, else RETURN to Block House, THEN...;;2;;;;
0:00;MRL;Close He Bottle 2, THEN...;;2;;;;
0:00;MRL;Write down remaining Pressure of He Bottle 2, THEN...;;2;;;;
0:00;MRL;Return to Block House;;2;;;;
0:00;EGSE;Open HPDV;;2;;;;
0:00;EGSE;Open HPV2;;2;;;;
0:00;EGSE;Confirm pressure HPLPT & HPPT2 0 Bar;;2;;;;
0:00;EGSE;Close HPV2;;2;;;;
0:00;EGSE;Close HPDV;;2;;;;
0:00;MRL;Go to Testrig, confirm HPPG2 0 Bar, else return to Block House, THEN...;;2;;;;
0:00;MRL;Close He Bottle 1, THEN ...;;2;;;;
0:00;MRL;Open ComTerm;;2;;;;
8:15;MCC;Turn ON ComTerm step delay;;2;;;;
0:00;MCC/MRL;Write down remaining Pressure of He Bottle 1;;2;;;;
0:00;MRL;Step back;;2;;;;
0:00;EGSE;Open HPDV;;2;;;;
0:00;EGSE;Open HPV1;;2;;;;
0:00;EGSE;Confirm pressure HPLPT & HPPT1 0 Bar;;2;;;;
0:00;EGSE;Close HPV1;;2;;;;
0:00;EGSE;Close HPDV;;2;;;;
0:00;EGSE;Pressure Check;;2;;;;
0:00;MRL;Open MBV;;2;;;;
0:00;EGSE/ MRL;Check and compare pressure HPPT1 with HPPG1;;2;;;;
0:00;MRL;Close MBV;;2;;;;
0:00;MRL;Take out Bridges B1 & B2 from EGSE;;2;;;;
0:00;MRL;Disconnect Ignition Umbilical;;2;;;;00:30
0:00;MRL;Safety is ensured;;2;;;;
0:00;MCC;Confirm to OPS that Safety is ensured;;1;;;;
0:00;MCC;BEGIN SEQUENCE: Data collection;Data collection;1;;;;
0:00;AVC;Turn off GoPro & Camcorder & Stop Block House Video recording;;1;;;;
0:00;EGSE;Copy PID.vi.tdms & save to new name;;1;;;;
0:00;EGSE;Wait for buffer storage process to be finished;;1;;;;
0:00;EGSE;save data files from cRio to PC;;1;;;;
0:00;WIND;Save data on external HDD;;1;;;;
0:00;TMTC;Stop TMTC Vi and save data on external HDD;;1;;;;
0:00;AVC;End audio recording;;1;;;;
0:00;MCC;Stop ComTerm and save logfile to external HDD, THEN...;;1;;;;
0:00;MCC;Restart ComTerm VI;;1;;;;
0:00;AVC;Save video & audio data on external HDD;;1;;;;
0:00;MCC;END OF PROCEDURE;END;1;;;;
